id,type,name,status,description,epic,start,finish,duration
0,TASK,первая задача,NEW,,,2024.04.29 23:24 Europe/Moscow,2024.04.29 23:34 Europe/Moscow,10
1,TASK,вторая задача,NEW,,,,,
35,TASK,первая задача,NEW,,,,,
36,TASK,вторая задача,NEW,,,,,
21,TASK,первая задача,NEW,,,,,
22,TASK,вторая задача,NEW,,,2024.04.29 23:44 Europe/Moscow,2024.04.29 23:54 Europe/Moscow,10
7,TASK,первая задача,NEW,,,,,
8,TASK,вторая задача,NEW,,,,,
28,TASK,первая задача,NEW,,,,,
29,TASK,вторая задача,NEW,,,,,
14,TASK,первая задача,NEW,,,,,
15,TASK,вторая задача,NEW,,,,,
16,EPIC,пустой эпик,NEW,,,,,
17,EPIC,эпик с подзадачами,NEW,,,,,
2,EPIC,пустой эпик,NEW,,,,,
3,EPIC,эпик с подзадачами ddd,NEW,,,,,
37,EPIC,пустой эпик,NEW,,,,,
38,EPIC,эпик с подзадачами,NEW,,,,,
23,EPIC,пустой эпик,NEW,,,,,
24,EPIC,эпик с подзадачами,NEW,,,,,
9,EPIC,пустой эпик,NEW,,,,,
10,EPIC,эпик с подзадачами,NEW,,,,,
30,EPIC,пустой эпик,NEW,,,,,
31,EPIC,эпик с подзадачами,NEW,,,,,
32,SUBTASK,первая подзадача,NEW,,31,,,
33,SUBTASK,вторая подзадача,NEW,,31,,,
34,SUBTASK,третья подзадача,NEW,,31,,,
4,SUBTASK,первая подзадача,NEW,,3,,,
5,SUBTASK,вторая подзадача,NEW,,3,,,
6,SUBTASK,третья подзадача,NEW,,3,,,
39,SUBTASK,первая подзадача,NEW,,38,,,
40,SUBTASK,вторая подзадача,NEW,,38,,,
41,SUBTASK,третья подзадача,NEW,,38,,,
11,SUBTASK,первая подзадача,NEW,,10,,,
12,SUBTASK,вторая подзадача,NEW,,10,,,
13,SUBTASK,третья подзадача,NEW,,10,,,
18,SUBTASK,первая подзадача,NEW,,17,,,
19,SUBTASK,вторая подзадача,NEW,,17,,,
20,SUBTASK,третья подзадача,NEW,,17,,,
25,SUBTASK,первая подзадача,NEW,,24,,,
26,SUBTASK,вторая подзадача,NEW,,24,,,
27,SUBTASK,третья подзадача,NEW,,24,,,